retrieval_date,year,geography_id,geography_name,metric,value,unit,population,value_status
2026-09-11,2021,EL63,Western Greece,total_nights,1148247.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL64,Central Greece,total_arrivals,530588.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL64,Central Greece,total_nights,1501811.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL65,Peloponnese,total_arrivals,1040116.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL65,Peloponnese,total_nights,2779994.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL30,Attica,total_arrivals,4647960.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL30,Attica,total_nights,10294128.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL41,Northern Aegean,total_arrivals,492633.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL41,Northern Aegean,total_nights,2544399.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL42,Southern Aegean,total_arrivals,7120294.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL42,Southern Aegean,total_nights,35967164.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL43,Crete,total_arrivals,5891501.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL43,Crete,total_nights,31983935.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL51,Eastern Macedonia and Thrace,total_arrivals,817002.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL51,Eastern Macedonia and Thrace,total_nights,3010356.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL52,Central Macedonia,total_arrivals,3779335.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL52,Central Macedonia,total_nights,15117068.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL53,Western Macedonia,total_arrivals,140786.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL53,Western Macedonia,total_nights,279826.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL54,Epirus,total_arrivals,914296.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL54,Epirus,total_nights,2963026.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL61,Thessaly,total_arrivals,1228596.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL61,Thessaly,total_nights,3573616.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL62,Ionian Islands,total_arrivals,2762463.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL62,Ionian Islands,total_nights,16400462.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL63,Western Greece,total_arrivals,728876.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL63,Western Greece,total_nights,1930338.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL64,Central Greece,total_arrivals,881656.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL64,Central Greece,total_nights,2473480.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL65,Peloponnese,total_arrivals,1592752.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2022,EL65,Peloponnese,total_nights,4368302.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL30,Attica,total_arrivals,5563680.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
