retrieval_date,year,metric,value,unit,population,value_status,yoy_change,yoy_status,recovery_2019_index,recovery_2019_status,geography_code,geography_name,geography_nuts_level
2026-09-11,2024,total_nights,1797892.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,1.5381296321083093,observed,,population_break,EL525,Pieria,3
2026-09-11,2019,total_arrivals,1077714.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL527,Chalkidiki,3
2026-09-11,2019,total_nights,5647006.0,nights,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL527,Chalkidiki,3
2026-09-11,2020,total_arrivals,266296.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,-75.29066152986785,observed,24.70933847013215,observed,EL527,Chalkidiki,3
2026-09-11,2020,total_nights,1178262.0,nights,hotels and similar establishments excluding tourist campsites,observed,-79.13474857296062,observed,20.865251427039393,observed,EL527,Chalkidiki,3
2026-09-11,2021,total_arrivals,683120.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL527,Chalkidiki,3
2026-09-11,2021,total_nights,3336393.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL527,Chalkidiki,3
2026-09-11,2022,total_arrivals,1066387.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,56.10536948120388,observed,,population_break,EL527,Chalkidiki,3
2026-09-11,2022,total_nights,5347641.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,60.2821070539352,observed,,population_break,EL527,Chalkidiki,3
2026-09-11,2023,total_arrivals,1140580.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,6.957417898005125,observed,,population_break,EL527,Chalkidiki,3
2026-09-11,2023,total_nights,5733663.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,7.218547393140273,observed,,population_break,EL527,Chalkidiki,3
2026-09-11,2024,total_arrivals,1183143.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,3.7316979080818546,observed,,population_break,EL527,Chalkidiki,3
2026-09-11,2024,total_nights,6081443.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,6.065581461624103,observed,,population_break,EL527,Chalkidiki,3
