dataset_code,activity,year,month,value,status,flag
tour_occ_nim,I551,2020,2,1592958.0,observed,
tour_occ_nim,I551,2020,3,589537.0,observed,
tour_occ_nim,I551,2020,4,63072.0,observed,
tour_occ_nim,I551,2020,5,89656.0,observed,
tour_occ_nim,I551,2020,6,605938.0,observed,
tour_occ_nim,I551,2020,7,5072423.0,observed,
tour_occ_nim,I551,2020,8,9118432.0,observed,
tour_occ_nim,I551,2020,9,6308300.0,observed,
tour_occ_nim,I551,2020,10,4692570.0,observed,
tour_occ_nim,I551,2020,11,462850.0,observed,
tour_occ_nim,I551,2020,12,291052.0,observed,
tour_occ_nim,I551,2021,1,333136.0,observed,
tour_occ_nim,I551,2021,2,367681.0,observed,
tour_occ_nim,I551,2021,3,450360.0,observed,
tour_occ_nim,I551,2021,4,534759.0,observed,
tour_occ_nim,I551,2021,5,1597508.0,observed,
tour_occ_nim,I551,2021,6,5658270.0,observed,
tour_occ_nim,I551,2021,7,12784216.0,observed,
tour_occ_nim,I551,2021,8,15186016.0,observed,
tour_occ_nim,I551,2021,9,11970106.0,observed,
tour_occ_nim,I551,2021,10,7137652.0,observed,
tour_occ_nim,I551,2021,11,1384403.0,observed,
tour_occ_nim,I551,2021,12,940537.0,observed,
tour_occ_nim,I551,2022,1,773408.0,observed,
tour_occ_nim,I551,2022,2,883029.0,observed,
tour_occ_nim,I551,2022,3,1481949.0,observed,
tour_occ_nim,I551,2022,4,4324055.0,observed,
tour_occ_nim,I551,2022,5,10904413.0,observed,
tour_occ_nim,I551,2022,6,15361335.0,observed,
tour_occ_nim,I551,2022,7,19610100.0,observed,
tour_occ_nim,I551,2022,8,20778671.0,observed,
tour_occ_nim,I551,2022,9,15902643.0,observed,
tour_occ_nim,I551,2022,10,8477212.0,observed,
tour_occ_nim,I551,2022,11,1707412.0,observed,
tour_occ_nim,I551,2022,12,1696796.0,observed,
tour_occ_nim,I551,2023,1,1360361.0,observed,
tour_occ_nim,I551,2023,2,1407239.0,observed,
tour_occ_nim,I551,2023,3,2168325.0,observed,
tour_occ_nim,I551,2023,4,5542569.0,observed,
tour_occ_nim,I551,2023,5,12058677.0,observed,
tour_occ_nim,I551,2023,6,17175108.0,observed,
tour_occ_nim,I551,2023,7,21058020.0,observed,
tour_occ_nim,I551,2023,8,21997603.0,observed,
tour_occ_nim,I551,2023,9,17009174.0,observed,
tour_occ_nim,I551,2023,10,8940799.0,observed,
tour_occ_nim,I551,2023,11,1913662.0,observed,
tour_occ_nim,I551,2023,12,1866092.0,observed,
tour_occ_nim,I551,2024,1,1356200.0,observed,
tour_occ_nim,I551,2024,2,1468431.0,observed,
tour_occ_nim,I551,2024,3,2362317.0,observed,
tour_occ_nim,I551,2024,4,5673862.0,observed,
tour_occ_nim,I551,2024,5,12593343.0,observed,
tour_occ_nim,I551,2024,6,17703681.0,observed,
tour_occ_nim,I551,2024,7,21889123.0,observed,
tour_occ_nim,I551,2024,8,22906206.0,observed,
tour_occ_nim,I551,2024,9,17679658.0,observed,
tour_occ_nim,I551,2024,10,9308892.0,observed,
tour_occ_nim,I551,2024,11,1986016.0,observed,
tour_occ_nim,I551,2024,12,1950671.0,observed,
tour_occ_nim,I551,2025,1,1402144.0,observed,
tour_occ_nim,I551,2025,2,1524849.0,observed,
tour_occ_nim,I551,2025,3,2460357.0,observed,
tour_occ_nim,I551,2025,4,5889466.0,observed,
tour_occ_nim,I551,2025,5,12875345.0,observed,
